Source,Page number,Order,Week,Type,Lexicality,Orthography,Phonology,Flag for discussion,Notes,Mismatch with CMU Transcription,Coder(s),,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, Words and sentences using Phase Three graphemes, Words using phase 3 vowel graphemes",102,40,13,Rule example word,Word,mature,mətʃɝ,"Seems like there could be multiple pronunciations for this, for example /mətʃuɝ/ and may be different in British English",,1 - mʌtʃʊɹ,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, Words and sentences using Phase Three graphemes, Words using phase 3 vowel graphemes",102,40,13,Rule example word,Word,hammer,hæmɚ,,,1 - hæmɝ,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, Words and sentences using Phase Three graphemes, Words using phase 3 vowel graphemes",102,40,13,Rule example word,Word,letter,lɛɾɚ,Exception that isn't mentioned as such,In NA English the <tt> is pronounced as a flap in this context so it is flagged as an exception,1 - lɛtɝ,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, Words and sentences using Phase Three graphemes, Words using phase 3 vowel graphemes",102,40,13,Rule example word,Word,rocker,ɹɑkɚ,,,1 - ɹɑkɝ,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, Words and sentences using Phase Three graphemes, Words using phase 3 vowel graphemes",102,40,13,Rule example word,Word,Ladder,læɾɚ,Exception that isn't mentioned as such,In NA English the <dd> is pronounced as a flap in this context so it is flagged as an exception,0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, Words and sentences using Phase Three graphemes, Words using phase 3 vowel graphemes",102,40,13,Rule example word,Word,supper,sʌpɚ,,,1 - sʌpɝ,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, Words and sentences using Phase Three graphemes, Words using phase 3 vowel graphemes",102,40,13,Rule example word,Word,dinner,dɪnɚ,,,1 - dɪnɝ,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, Words and sentences using Phase Three graphemes, Words using phase 3 vowel graphemes",102,40,13,Rule example word,Word,boxer,bɑksɚ,,,1 - bɑksɝ,YL + EA,,,,,,
"Phase 3, Bank of suggested words, Words and sentences using Phase Three graphemes, Words with a combination of two Phase Three graphemes",103,40,13,Rule example word,Word,summer,sʌmɚ,,,1 - sʌmɝ,YL + EA,,,,,,
"Phase 3, Bank of suggested words, Words and sentences using Phase Three graphemes, Words with a combination of two Phase Three graphemes",103,40,13,Rule example word,Word,banner,bænɚ,,,1 - bænɝ,YL + EA,,,,,,
"Phase 3, Bank of suggested words, Words and sentences using Phase Three graphemes, Words with a combination of two Phase Three graphemes",103,40,13,Rule example word,Word,farmer,fɑɹmɚ,,,1 - fɑɹmɝ,YL + EA,,,,,,
"Phase 3, Bank of suggested words, Words and sentences using Phase Three graphemes, Words with a combination of two Phase Three graphemes",103,40,13,Rule example word,Word,singer,sɪŋɚ,,,1 - sɪŋɝ,YL + EA,,,,,,
"Phase 3, Bank of suggested words, Words and sentences using Phase Three graphemes, Words with a combination of two Phase Three graphemes",103,40,13,Rule example word,Word,Shorter,ʃɔɹtɚ,,,0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, Words and sentences using Phase Three graphemes, Words with a combination of two Phase Three graphemes",103,40,13,Rule example word,Word,thicker,θɪkɚ,,,1 - θɪkɝ,YL + EA,,,,,,
"Phase 3, Bank of suggested words, Words and sentences using Phase Three graphemes, Words with a combination of two Phase Three graphemes.",103,40,13,Rule example word,Word,longer,lɑŋgɚ,,,1 - lɔŋgɝ,YL + EA,,,,,,
"Phase 3, Suggested timetable for Phase Three - discrete teaching",77,41,13,Tricky word,Word,they,ðeɪ,,,0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, Words and sentences using Phase Three graphemes, Captions",103,42,13,Rule example phrase,Word phrase,Boats on the river,boʊts ɑn ðə ɹɪvɚ,,,0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, Words and sentences using Phase Three graphemes, Captions",103,42,13,Rule example word,Word,river,ɹɪvɚ,,,1 - ɹɪvɝ,YL + EA,,,,,,
"Phase 3, Bank of suggested words, Words and sentences using Phase Three graphemes, Sentences",103,42,13,Rule example sentence,Word sentence,The farmer gets up at six in the morning.,ðə fɑɹmɚ gɛts ʌp æt sɪks ɪn ðə mɔɹnɪŋ,,,0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, Words and sentences using Phase Three graphemes, Sentences",103,42,13,Rule example word,Word,gets,gɛts,,,0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, Words and sentences using Phase Three graphemes, Sentences",103,42,13,Rule example sentence,Word sentence,Jim has seven silver coins.,dʒɪm hæz sɛvən sɪlvɚ kɔɪnz,,,0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, Words and sentences using Phase Three graphemes, Sentences",103,42,13,Rule example word,Word,seven,sɛvən,,,1 - sɛvʌn,YL + EA,,,,,,
"Phase 3, Bank of suggested words, Words and sentences using Phase Three graphemes, Sentences",103,42,13,Rule example word,Word,silver,sɪlvɚ,,,1 - sɪlvɝ,YL + EA,,,,,,
"Phase 3, Bank of suggested words, Words and sentences using Phase Three graphemes, Sentences",103,42,13,Rule example word,Word,coins,kɔɪnz,Exception but is not taught as such,"May have taught ""s"" as /z/ previously for the tricky word ""was"", but this word is not marked as explicit exception. ",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, Sentences for the end of Phase Three, Sentences and substitute words for sentence substitution",104,42,13,Rule example sentence,Word sentence,They might meet in the town.,"ðeɪ maɪt mit ɪn ðə taʊn
",,,0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, Sentences for the end of Phase Three, Sentences and substitute words for sentence substitution",104,42,13,Rule example sentence,Word sentence,The shop is on the corner.,ðə ʃɑp ɪz ɑn ðə kɔɹnɚ,,,0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, Sentences for the end of Phase Three, Sentences and substitute words for sentence substitution",104,42,13,Rule example word,Word,corner,kɔɹnɚ,,,1 - kɔɹnɝ,YL + EA,,,,,,
"Phase 3, Suggested timetable for Phase Three - discrete teaching",77,43,14,Tricky word,Word,her,hɝ,,,0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, On the farm",103,44,"14, 15, 16",Rule example sentence,Word sentence,I will soon visit my nan at her farm.,aɪ wɪl sun vɪzɪt maɪ næn æt hɝ fɑɹm,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 of Phase 3 (weeks 14,15,16 overall) after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, On the farm",103,44,"14, 15, 16",Rule example sentence,Word sentence,She will let me feed the hens and chickens.,ʃi wɪl lɛt mi fid ðə hɛnz ænd tʃɪkənz,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, On the farm",103,44,"14, 15, 16",Rule example word,Word,feed,fid,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, On the farm",103,44,"14, 15, 16",Rule example word,Word,hens,hɛnz,""", is an exception but is not taught as such",""", May have taught ""s"" as /z/ previously for the tricky word ""was"", but this word is not marked as explicit exception. ",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, On the farm",103,44,"14, 15, 16",Rule example word,Word,chickens,tʃɪkənz,""", is an exception but is not taught as such",""", May have taught ""s"" as /z/ previously for the tricky word ""was"", but this word is not marked as explicit exception. ",1 - tʃɪkʌnz,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, On the farm",103,44,"14, 15, 16",Rule example sentence,Word sentence,They peck up corn in the farmyard.,ðeɪ pɛk ʌp kɔɹn ɪn ðə fɑɹmjɑɹd,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, On the farm",103,44,"14, 15, 16",Rule example word,Word,corn,kɔɹn,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, On the farm",103,44,"14, 15, 16",Rule example sentence,Word sentence,She has goats and cows as well as hens.,ʃi hæz goʊts ænd kaʊz æz wɛl æz  hɛnz,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, On the farm",103,44,"14, 15, 16",Rule example word,Word,goats,goʊts,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, On the farm",103,44,"14, 15, 16",Rule example sentence,Word sentence,She gets the hens into a shed at night - foxes might get them.,ʃi gɛts ðə hɛnz ɪntu ə ʃɛd æt naɪt - fɑksəz maɪt gɛt ðɛm,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, On the farm",103,44,"14, 15, 16",Rule example word,Word,foxes,fɑksəz,"""","""",1 - fɑksʌz,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In town",103,44,"14, 15, 16",Rule example sentence,Word sentence,You and I can meet on the corner. ,ju ænd aɪ kæn mit ɑn ðə kɔɹnɚ,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In town",103,44,"14, 15, 16",Rule example sentence,Word sentence,We can get the bus to the fish and chip shop.,wi kæn gɛt ðə bʌs tu ðə fɪʃ  ænd tʃɪp ʃɑp ,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In town",103,44,"14, 15, 16",Rule example sentence,Word sentence,Janaki and her sister may join us.,dʒænæki ænd hɝ sɪstɚ meɪ dʒkɔɪn ʌs,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In town",103,44,"14, 15, 16",Rule example word,Word,Janaki,dʒænæki,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In town",103,44,"14, 15, 16",Rule example word,Word,sister,sɪstɚ,"""","""",1 - sɪstɝ,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In town",103,44,"14, 15, 16",Rule example sentence,Word sentence,"They can get fish and chips, too.","ðeɪ kæn gɛt fɪʃ ænd tʃɪps, tu",Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In town",103,44,"14, 15, 16",Rule example sentence,Word sentence,Then we can all run to the park.,ðɛn wi kæn ɑl ɹʌn tu ðə pɑɹk,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In a wigwam",103,44,"14, 15, 16",Rule example sentence,Word sentence,Kevin has a wigwam in the garden.,kɛvɪn hæz ə wɪgwɔm ɪn ðə gɑɹdən,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In a wigwam",103,44,"14, 15, 16",Rule example word,Word,wigwam,wɪgwɑm,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In a wigwam",103,44,"14, 15, 16",Rule example word,Word,garden,gɑɹdən,"""","""",1 - gɑɹdʌn,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In a wigwam",103,44,"14, 15, 16",Rule example sentence,Word sentence,"Alex, Jon and Jeevan visit him.","ælɛks, dʒɑn ænd dʒivɑn vɪzɪt hɪm",Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In a wigwam",103,44,"14, 15, 16",Rule example word,Word,Alex,ælɛks,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In a wigwam",103,44,"14, 15, 16",Rule example word,Word,Jon,dʒɑn,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In a wigwam",103,44,"14, 15, 16",Rule example word,Word,Jeevan,dʒivɑn,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In a wigwam",103,44,"14, 15, 16",Rule example sentence,Word sentence,Kevin's dad cooks chicken for them on hot coals.,kɛvɪnz dæd kʊks tʃɪkɛn fɔɹ ðɛm ɑn hɑt koʊlz,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In a wigwam",103,44,"14, 15, 16",Rule example word,Word,cooks,kʊks,,,0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In a wigwam",103,44,"14, 15, 16",Rule example word,Word,coals,koʊlz,""", is an exception but is not taught as such",""", May have taught ""s"" as /z/ previously for the tricky word ""was"", but this word is not marked as explicit exception. ",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In a wigwam",104,44,"14, 15, 16",Rule example sentence,Word sentence,Having food in the wigwam is fun.,hævɪŋ fud ɪn ðə wɪgwɔm ɪz fʌn ,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In a wigwam",103,44,"14, 15, 16",Rule example word,Word,having,hævɪŋ,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In a wigwam",104,44,"14, 15, 16",Rule example sentence,Word sentence,Then they sing songs.,ðɛn ðeɪ sɪŋ sɑŋz,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, At the river ",103,44,"14, 15, 16",Rule example sentence,Word sentence,Max and Vikram sail a wooden boat.,mæks ænd vɪkɹʌm seɪl ə wʊdən boʊt,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, At the river ",103,44,"14, 15, 16",Rule example word,Word,Max,mæks,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, At the river ",103,44,"14, 15, 16",Rule example word,Word,wooden,wʊdən,"""","""",1 - wʊdʌn,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, At the river ",103,44,"14, 15, 16",Rule example sentence,Word sentence,Jeff chucks bits of bun in the river for the ducks.,dʒɛf tʃʌks bɪts ʌv bʌn ɪn ðə ɹɪvɚ fɔɹ ðə dʌks,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, At the river ",103,44,"14, 15, 16",Rule example word,Word,chucks,tʃʌks,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, At the river ",103,44,"14, 15, 16",Rule example word,Word,ducks,dʌks,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, At the river ",103,44,"14, 15, 16",Rule example sentence,Word sentence,Yasmin sits on a rock and looks for fish.,jæzmɪn sɪts ɑn ə ɹɑk ænd lʊks fɔɹ fɪʃ,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, At the river ",103,44,"14, 15, 16",Rule example word,Word,Yasmin,jæzmɪn,""", is an exception but is not taught as such",""", May have taught ""s"" as /z/ previously for the tricky word ""was"", but this word is not marked as explicit exception. ",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, At the river ",103,44,"14, 15, 16",Rule example word,Word,sits,sɪts,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, At the river ",103,44,"14, 15, 16",Rule example word,Word,looks,lʊks,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, At the river ",104,44,"14, 15, 16",Rule example sentence,Word sentence,Tanya and Yasha see an eel.,tænjæ ænd jæʃæ si ʌn il,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, At the river ",104,44,"14, 15, 16",Rule example word,Word,Tanya,tænjæ,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, At the river ",104,44,"14, 15, 16",Rule example word,Word,Yasha,jæʃæ,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, At the river ",104,44,"14, 15, 16",Rule example sentence,Word sentence,Shep the dog sits down in the mud and gets in a mess.,ʃɛp ðə dɑg sɪts daʊn ɪn ðə mʌd ænd gɛts ɪn ə mɛs,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, At the river ",104,44,"14, 15, 16",Rule example word,Word,Shep,ʃɛp,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In the woods",104,44,"14, 15, 16",Rule example sentence,Word sentence,Chip the dog runs to the woods.,tʃɪp ðə dɑg ɹʌnz tu ðə wʊdz,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, At the river ",104,44,"14, 15, 16",Rule example word,Word,runs,ɹʌnz,""", is an exception but is not taught as such",""", May have taught ""s"" as /z/ previously for the tricky word ""was"", but this word is not marked as explicit exception. ",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, At the river ",104,44,"14, 15, 16",Rule example word,Word,woods,wʊdz,""", is an exception but is not taught as such",""", May have taught ""s"" as /z/ previously for the tricky word ""was"", but this word is not marked as explicit exception. ",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In the woods",104,44,"14, 15, 16",Rule example sentence,Word sentence,He is looking for rabbits but sees a fox.,hi ɪz lʊkɪŋ fɔɹ ɹæbɪts bʌt siz ə fɑks,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In the woods",104,44,"14, 15, 16",Rule example word,Word,rabbits,ɹæbɪts,""", is an exception but is not taught as such",""", May have taught ""s"" as /z/ previously for the tricky word ""was"", but this word is not marked as explicit exception. ",1 - ɹæbʌts,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In the woods",104,44,"14, 15, 16",Rule example word,Word,sees,siz,""", is an exception but is not taught as such",""", May have taught ""s"" as /z/ previously for the tricky word ""was"", but this word is not marked as explicit exception. ",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In the woods",104,44,"14, 15, 16",Rule example sentence,Word sentence,The fox sees him and rushes off to its den.,ðə fɑks siz hɪm ænd ɹʌʃəz ɑf tu ɪts dɛn,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In the woods",104,44,"14, 15, 16",Rule example word,Word,rushes,ɹʌʃəz,""", is an exception but is not taught as such",""", May have taught ""s"" as /z/ previously for the tricky word ""was"", but this word is not marked as explicit exception. ",1 - ɹʌʃʌz,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In the woods",104,44,"14, 15, 16",Rule example sentence,Word sentence,Chip dashes after it but cannot see it.,tʃɪp dæʃəz ɪt bʌt kænɑt si ɪt,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In the woods",104,44,"14, 15, 16",Rule example word,Word,dashes,dæʃəz,""", is an exception but is not taught as such",""", May have taught ""s"" as /z/ previously for the tricky word ""was"", but this word is not marked as explicit exception. ",1 - dæʃɪz,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In the woods",104,44,"14, 15, 16",Rule example word,Word,cannot,kænɑt,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In the woods",104,44,"14, 15, 16",Rule example sentence,Word sentence,He feels sad and runs back to his kennel.,hi fils sæd ænd ɹʌnz bæk tu hɪz kɛɾ̃ɛl ,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In the woods",104,44,"14, 15, 16",Rule example word,Word,feels,fils,"""","""",1 - filz,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, In the woods",104,44,"14, 15, 16",Rule example word,Word,kennel,kɛnɛl,"""","""",1 - kɛnʌl,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, Yes/no questions suitable for the end of Phase Three",104,44,"14, 15, 16",Rule example sentence,Word sentence,Is rain wet?,ɪz ɹeɪn wɛt,"""","""",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, Yes/no questions suitable for the end of Phase Three",104,44,"14, 15, 16",Rule example sentence,Word sentence,Can a boat sail?,kæn ʌ boʊt seɪl,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, Yes/no questions suitable for the end of Phase Three",104,44,"14, 15, 16",Rule example sentence,Word sentence,Is all hair fair?,ɪz ɑl hɛɹ fɛɹ,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, Yes/no questions suitable for the end of Phase Three",104,44,"14, 15, 16",Rule example sentence,Word sentence,Is the moon far off?,ɪz ðə mun fɑɹ ɑf,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, Yes/no questions suitable for the end of Phase Three",104,44,"14, 15, 16",Rule example sentence,Word sentence,Are fish and chips food?, ɑɹ fɪʃ ænd tʃɪps fud,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Sentences for the end of Phase Three, Yes/no questions suitable for the end of Phase Three",104,44,"14, 15, 16",Rule example sentence,Word sentence,Is it dark at night?, ɪz ɪt dɑɹk æt naɪt,Order is unclear,"The subheading only vaguely mentions ""for the end of Phase Three"". It is likely that it will be in weeks 8,9 and 10 after they have learnt all the digraphs",0,YL + EA,,,,,,
